date,state,death,deathDelta
20200412,CA,651,42
20200413,CA,687,36
20200414,CA,758,71
20200415,CA,821,63
20200416,CA,890,69
20200417,CA,985,95
20200418,CA,1072,87
20200419,CA,1166,94
20200420,CA,1208,42
20200421,CA,1268,60
20200422,CA,1354,86
20200423,CA,1469,115
20200424,CA,1562,93
20200425,CA,1651,89
20200426,CA,1710,59
20200427,CA,1755,45
20200428,CA,1809,54
20200429,CA,1887,78
20200430,CA,1982,95
20200501,CA,2073,91
20200502,CA,2171,98
20200503,CA,2215,44
20200504,CA,2254,39
20200505,CA,2317,63
20200506,CA,2412,95
20200507,CA,2504,92
20200508,CA,2585,81
20200509,CA,2678,93
20200510,CA,2745,67
20200511,CA,2770,25
20200512,CA,2847,77
20200513,CA,2934,87
20200514,CA,3032,98
20200515,CA,3108,76
20200516,CA,3204,96
20200517,CA,3261,57
20200518,CA,3302,41
20200519,CA,3334,32
20200520,CA,3436,102
20200521,CA,3542,106
20200522,CA,3630,88
20200523,CA,3708,78
20200524,CA,3774,66
20200525,CA,3795,21
20200526,CA,3814,19
20200527,CA,3884,70
20200528,CA,3973,89
20200529,CA,4068,95
20200530,CA,4156,88
20200531,CA,4213,57
20200601,CA,4251,38
20200602,CA,4286,35
20200603,CA,4361,75
20200604,CA,4422,61
20200605,CA,4485,63
20200606,CA,4559,74
20200607,CA,4626,67
20200608,CA,4653,27
20200609,CA,4697,44
20200610,CA,4776,79
20200611,CA,4881,105
20200612,CA,4943,62
20200613,CA,4989,46
20200614,CA,5063,74
20200615,CA,5089,26
20200616,CA,5121,32
20200617,CA,5208,87
20200618,CA,5290,82
20200619,CA,5360,70
20200620,CA,5424,64
20200621,CA,5495,71
20200622,CA,5515,20
20200623,CA,5580,65
20200624,CA,5632,52
20200625,CA,5733,101
20200626,CA,5812,79
20200627,CA,5872,60
20200628,CA,5905,33
20200629,CA,5936,31
20200630,CA,5980,44
20200701,CA,6090,110
20200702,CA,6163,73
20200703,CA,6263,100
20200704,CA,6313,50
20200705,CA,6331,18
20200706,CA,6337,6
20200707,CA,6448,111
20200708,CA,6562,114
20200709,CA,6711,149
20200710,CA,6851,140
20200711,CA,6945,94
20200712,CA,7017,72
20200713,CA,7040,23
20200714,CA,7087,47
20200715,CA,7227,140
20200716,CA,7345,118
20200717,CA,7475,130
20200718,CA,7595,120
20200719,CA,7685,90
20200720,CA,7694,9
20200721,CA,7755,61
20200722,CA,7870,115
20200723,CA,8027,157
20200724,CA,8186,159
20200725,CA,8337,151
20200726,CA,8416,79
20200727,CA,8445,29
20200728,CA,8518,73
20200729,CA,8715,197
20200730,CA,8909,194
20200731,CA,9005,96
20200801,CA,9224,219
20200802,CA,9356,132
20200803,CA,9388,32
20200804,CA,9501,113
20200805,CA,9703,202
20200806,CA,9869,166
20200305,CO,,-9869
20200306,CO,,0
20200307,CO,,0
20200308,CO,,0
20200309,CO,,0
20200310,CO,,0
20200311,CO,,0
20200312,CO,,0
20200313,CO,,0
20200314,CO,1,1
20200315,CO,1,0
20200316,CO,1,0
20200317,CO,1,0
20200318,CO,2,1
20200319,CO,2,0
20200320,CO,3,1
20200321,CO,4,1
20200322,CO,5,1
20200323,CO,6,1
20200324,CO,7,1
20200325,CO,11,4
20200326,CO,19,8
20200327,CO,24,5
20200328,CO,31,7
20200329,CO,44,13
20200330,CO,51,7
20200331,CO,51,0
20200401,CO,69,18
20200402,CO,80,11
20200403,CO,97,17
20200404,CO,111,14
20200405,CO,126,15
20200406,CO,140,14
20200407,CO,150,10
20200408,CO,179,29
20200409,CO,193,14
20200410,CO,250,57
20200411,CO,250,0
20200412,CO,274,24
20200413,CO,304,30
20200414,CO,308,4
20200415,CO,329,21
20200416,CO,357,28
20200417,CO,374,17
20200418,CO,391,17
20200419,CO,411,20
20200420,CO,422,11
20200421,CO,449,27
20200422,CO,486,37
20200423,CO,508,22
20200424,CO,552,44
20200425,CO,674,122
20200426,CO,672,-2
20200427,CO,680,8
20200428,CO,706,26
20200429,CO,760,54
20200430,CO,766,6
20200501,CO,777,11
20200502,CO,820,43
20200503,CO,832,12
20200504,CO,842,10
20200505,CO,851,9
20200506,CO,903,52
20200507,CO,921,18
20200508,CO,961,40
20200509,CO,960,-1
20200510,CO,967,7
20200511,CO,981,14
20200512,CO,987,6
20200513,CO,1009,22
20200514,CO,1062,53
20200515,CO,1091,29
20200516,CO,878,-213
20200517,CO,878,0
20200518,CO,878,0
20200519,CO,921,43
20200520,CO,968,47
20200521,CO,1001,33
20200522,CO,1062,61
20200523,CO,1088,26
20200524,CO,1088,0
20200525,CO,1088,0
20200526,CO,1088,0
20200527,CO,1114,26
20200528,CO,1135,21
20200529,CO,1168,33
20200530,CO,1181,13
20200531,CO,1181,0
20200601,CO,1181,0
20200602,CO,1185,4
20200603,CO,1228,43
20200604,CO,1254,26
20200605,CO,1255,1
20200606,CO,1274,19
20200607,CO,1274,0
20200608,CO,1274,0
20200609,CO,1292,18
20200610,CO,1312,20
20200611,CO,1328,16
20200612,CO,1339,11
20200613,CO,1348,9
20200614,CO,1348,0
20200615,CO,1348,0
20200616,CO,1373,25
20200617,CO,1373,0
20200618,CO,1402,29
20200619,CO,1417,15
20200620,CO,1429,12
20200621,CO,1429,0
20200622,CO,1429,0
20200623,CO,1438,9
20200624,CO,1455,17
20200625,CO,1457,2
20200626,CO,1475,18
20200627,CO,1482,7
20200628,CO,1482,0
20200629,CO,1482,0
20200630,CO,1508,26
20200701,CO,1520,12
20200702,CO,1520,0
20200703,CO,1521,1
20200704,CO,1521,0
20200705,CO,1521,0
20200706,CO,1521,0
20200707,CO,1542,21
20200708,CO,1542,0
20200709,CO,1544,2
20200710,CO,1581,37
20200711,CO,1586,5
20200712,CO,1586,0
20200713,CO,1586,0
20200714,CO,1589,3
20200715,CO,1594,5
20200716,CO,1601,7
20200717,CO,1615,14
20200718,CO,1615,0
20200719,CO,1615,0
20200720,CO,1615,0
20200721,CO,1615,0
20200722,CO,1643,28
20200723,CO,1643,0
20200724,CO,1645,2
20200725,CO,1661,16
20200726,CO,1661,0
20200727,CO,1661,0
20200728,CO,1668,7
20200729,CO,1679,11
20200730,CO,1688,9
20200731,CO,1691,3
20200801,CO,1691,0
20200802,CO,1691,0
20200803,CO,1691,0
20200804,CO,1710,19
20200805,CO,1710,0
20200806,CO,1717,7
20200307,CT,,-1717
20200308,CT,,0
20200309,CT,,0
20200310,CT,,0
20200311,CT,,0
20200312,CT,,0
20200313,CT,,0
20200314,CT,,0
20200315,CT,,0
20200316,CT,,0
20200317,CT,,0
20200318,CT,,0
20200319,CT,1,1
20200320,CT,3,2
20200321,CT,4,1
20200322,CT,5,1
20200323,CT,10,5
20200324,CT,12,2
20200325,CT,19,7
20200326,CT,21,2
20200327,CT,27,6
20200328,CT,27,0
20200329,CT,34,7
20200330,CT,36,2
20200331,CT,69,33
20200401,CT,85,16
20200402,CT,112,27
20200403,CT,131,19
20200404,CT,165,34
20200405,CT,189,24
20200406,CT,206,17
20200407,CT,277,71
20200408,CT,277,0
20200409,CT,380,103
20200410,CT,448,68
20200411,CT,494,46
20200412,CT,554,60
20200413,CT,602,48
20200414,CT,671,69
20200415,CT,868,197
20200416,CT,971,103
20200417,CT,1036,65
20200418,CT,1036,0
20200419,CT,1086,50
20200420,CT,1331,245
20200421,CT,1423,92
20200422,CT,1544,121
20200423,CT,1639,95
20200424,CT,1764,125
20200425,CT,1862,98
20200426,CT,1924,62
20200427,CT,1998,74
20200428,CT,2089,91
20200429,CT,2168,79
20200430,CT,2257,89
20200501,CT,2339,82
20200502,CT,2339,0
20200503,CT,2436,97
20200504,CT,2495,59
20200505,CT,2633,138
20200506,CT,2718,85
20200507,CT,2797,79
20200508,CT,2874,77
20200509,CT,2932,58
20200510,CT,2967,35
20200511,CT,3008,41
20200512,CT,3041,33
20200513,CT,3125,84
20200514,CT,3219,94
20200515,CT,3285,66
20200516,CT,3339,54
20200517,CT,3408,69
20200518,CT,3449,41
20200519,CT,3472,23
20200520,CT,3529,57
20200521,CT,3582,53
20200522,CT,3637,55
20200523,CT,3675,38
20200524,CT,3693,18
20200525,CT,3742,49
20200526,CT,3769,27
20200527,CT,3803,34
20200528,CT,3826,23
20200529,CT,3868,42
20200530,CT,3912,44
20200531,CT,3944,32
20200601,CT,3964,20
20200602,CT,3972,8
20200603,CT,3989,17
20200604,CT,4007,18
20200605,CT,4038,31
20200606,CT,4055,17
20200607,CT,4071,16
20200608,CT,4084,13
20200609,CT,4097,13
20200610,CT,4120,23
20200611,CT,4146,26
20200612,CT,4159,13
20200613,CT,4186,27
20200614,CT,4201,15
20200615,CT,4204,3
20200616,CT,4210,6
20200617,CT,4219,9
20200618,CT,4226,7
20200619,CT,4238,12
20200620,CT,4251,13
20200621,CT,4260,9
20200622,CT,4263,3
20200623,CT,4277,14
20200624,CT,4287,10
20200625,CT,4298,11
20200626,CT,4307,9
20200627,CT,4311,4
20200628,CT,4316,5
20200629,CT,4320,4
20200630,CT,4322,2
20200701,CT,4324,2
20200702,CT,4326,2
20200703,CT,4335,9
20200704,CT,4335,0
20200705,CT,4335,0
20200706,CT,4338,3
20200707,CT,4338,0
20200708,CT,4343,5
20200709,CT,4348,5
20200710,CT,4348,0
20200711,CT,4348,0
20200712,CT,4348,0
20200713,CT,4371,23
20200714,CT,4372,1
20200715,CT,4380,8
20200716,CT,4389,9
20200717,CT,4396,7
20200718,CT,4396,0
20200719,CT,4396,0
20200720,CT,4406,10
20200721,CT,4406,0
20200722,CT,4406,0
20200723,CT,4410,4
20200724,CT,4413,3
20200725,CT,4413,0
20200726,CT,4413,0
20200727,CT,4418,5
20200728,CT,4423,5
20200729,CT,4425,2
20200730,CT,4431,6
20200731,CT,4432,1
20200801,CT,4432,0
20200802,CT,4432,0
20200803,CT,4437,5
